County,Number,Date
Bourbon,3,03/29/20
Butler,3,03/29/20
Cherokee,2,03/29/20
Clay,1,03/29/20
Coffey,8,03/29/20
Doniphan,1,03/29/20
Finney,1,03/29/20
Franklin,6,03/29/20
Gove,1,03/29/20
Harvey,1,03/29/20
Jackson,1,03/29/20
Jefferson,1,03/29/20
Johnson,101,03/29/20
Leavenworth,17,03/29/20
Linn,5,03/29/20
McPherson,3,03/29/20
Montgomery,3,03/29/20
Morris,2,03/29/20
Neosho,1,03/29/20
Osage,1,03/29/20
Ottawa,1,03/29/20
Pottawatomie,1,03/29/20
Reno,7,03/29/20
Riley,1,03/29/20
Sedgwick,42,03/29/20
Stafford,1,03/29/20
Sumner,1,03/29/20
Woodson,1,03/29/20
Wyandotte,55,03/29/20
